Aletas,D_in_PVC (mm),D_out_PVC (mm),D_aleta (mm),Proporción Serpentín,C_coil (mm),T_out_hot (°C),UA Total (W/K),Efectividad,Altura Serpentín (m),Número de Vueltas
0,17.0,20.0,7.62,0.9,15.3,16.1012,19.8271,0.2437,0.191,19.3873
0,17.0,20.0,8.255,0.9,15.3,16.1012,19.8271,0.2437,0.191,19.3873
0,17.0,20.0,8.89,0.9,15.3,16.1012,19.8271,0.2437,0.191,19.3873
0,17.0,20.0,9.525,0.9,15.3,16.1012,19.8271,0.2437,0.191,19.3873
0,17.0,20.0,10.16,0.9,15.3,16.1012,19.8271,0.2437,0.191,19.3873
0,17.0,20.0,10.795,0.9,15.3,16.1012,19.8271,0.2437,0.191,19.3873
0,17.0,20.0,11.43,0.9,15.3,16.1012,19.8271,0.2437,0.191,19.3873
0,17.0,20.0,12.065,0.9,15.3,16.1012,19.8271,0.2437,0.191,19.3873
0,22.0,25.0,6.985,0.4,8.8,17.4145,12.4263,0.1616,0.3158,32.4888
0,22.0,25.0,7.62,0.4,8.8,17.4145,12.4263,0.1616,0.3158,32.4888
0,22.0,25.0,8.255,0.4,8.8,17.4145,12.4263,0.1616,0.3158,32.4888
0,22.0,25.0,8.89,0.4,8.8,17.4145,12.4263,0.1616,0.3158,32.4888
0,22.0,25.0,9.525,0.4,8.8,17.4145,12.4263,0.1616,0.3158,32.4888
0,22.0,25.0,10.16,0.4,8.8,17.4145,12.4263,0.1616,0.3158,32.4888
0,22.0,25.0,10.795,0.4,8.8,17.4145,12.4263,0.1616,0.3158,32.4888
0,22.0,25.0,11.43,0.4,8.8,17.4145,12.4263,0.1616,0.3158,32.4888
0,22.0,25.0,12.065,0.4,8.8,17.4145,12.4263,0.1616,0.3158,32.4888
0,22.0,25.0,6.985,0.5,11.0,17.4307,12.3401,0.1606,0.2588,26.5021
0,22.0,25.0,7.62,0.5,11.0,17.4307,12.3401,0.1606,0.2588,26.5021
0,22.0,25.0,8.255,0.5,11.0,17.4307,12.3401,0.1606,0.2588,26.5021
0,22.0,25.0,8.89,0.5,11.0,17.4307,12.3401,0.1606,0.2588,26.5021
0,22.0,25.0,9.525,0.5,11.0,17.4307,12.3401,0.1606,0.2588,26.5021
0,22.0,25.0,10.16,0.5,11.0,17.4307,12.3401,0.1606,0.2588,26.5021
0,22.0,25.0,10.795,0.5,11.0,17.4307,12.3401,0.1606,0.2588,26.5021
0,22.0,25.0,11.43,0.5,11.0,17.4307,12.3401,0.1606,0.2588,26.5021
0,22.0,25.0,12.065,0.5,11.0,17.4307,12.3401,0.1606,0.2588,26.5021
0,22.0,25.0,6.985,0.6,13.2,17.4445,12.2671,0.1597,0.219,22.3273
0,22.0,25.0,7.62,0.6,13.2,17.4445,12.2671,0.1597,0.219,22.3273
0,22.0,25.0,8.255,0.6,13.2,17.4445,12.2671,0.1597,0.219,22.3273
0,22.0,25.0,8.89,0.6,13.2,17.4445,12.2671,0.1597,0.219,22.3273
0,22.0,25.0,9.525,0.6,13.2,17.4445,12.2671,0.1597,0.219,22.3273
0,22.0,25.0,10.16,0.6,13.2,17.4445,12.2671,0.1597,0.219,22.3273
0,22.0,25.0,10.795,0.6,13.2,17.4445,12.2671,0.1597,0.219,22.3273
0,22.0,25.0,11.43,0.6,13.2,17.4445,12.2671,0.1597,0.219,22.3273
0,22.0,25.0,12.065,0.6,13.2,17.4445,12.2671,0.1597,0.219,22.3273
