Q_hot (L/min),D_in_cold (mm),D_out_cold (mm),V_vaso (mL),Tiempo de Enfriamiento (min)
15.0,93.6,110.0,300.0,93.38
15.0,106.4,125.0,300.0,131.71
15.0,119.2,140.0,300.0,140.26
15.0,8.0,10.0,400.0,10.31
15.0,10.0,12.0,400.0,20.07
15.0,13.6,16.0,400.0,35.01
15.0,17.0,20.0,400.0,45.45
15.0,22.0,25.0,400.0,57.38
15.0,27.2,32.0,400.0,68.35
15.0,34.0,40.0,400.0,81.86
15.0,42.6,50.0,400.0,95.3
15.0,53.6,63.0,400.0,105.29
15.0,63.8,75.0,400.0,111.11
15.0,76.6,90.0,400.0,117.01
15.0,93.6,110.0,400.0,124.51
15.0,106.4,125.0,400.0,175.62
15.0,119.2,140.0,400.0,187.02
15.0,8.0,10.0,500.0,12.88
15.0,10.0,12.0,500.0,25.09
15.0,13.6,16.0,500.0,43.77
15.0,17.0,20.0,500.0,56.82
15.0,22.0,25.0,500.0,71.73
15.0,27.2,32.0,500.0,85.44
15.0,34.0,40.0,500.0,102.32
15.0,42.6,50.0,500.0,119.12
15.0,53.6,63.0,500.0,131.62
15.0,63.8,75.0,500.0,138.89
15.0,76.6,90.0,500.0,146.27
15.0,93.6,110.0,500.0,155.64
15.0,106.4,125.0,500.0,219.52
15.0,119.2,140.0,500.0,233.77
15.0,8.0,10.0,600.0,15.46
15.0,10.0,12.0,600.0,30.1
15.0,13.6,16.0,600.0,52.52
15.0,17.0,20.0,600.0,68.18
15.0,22.0,25.0,600.0,86.08
15.0,27.2,32.0,600.0,102.53
15.0,34.0,40.0,600.0,122.78
15.0,42.6,50.0,600.0,142.95
15.0,53.6,63.0,600.0,157.94
15.0,63.8,75.0,600.0,166.67
15.0,76.6,90.0,600.0,175.52
15.0,93.6,110.0,600.0,186.77
15.0,106.4,125.0,600.0,263.43
15.0,119.2,140.0,600.0,280.53
15.0,8.0,10.0,700.0,18.04
15.0,10.0,12.0,700.0,35.12
15.0,13.6,16.0,700.0,61.28
15.0,17.0,20.0,700.0,79.54
15.0,22.0,25.0,700.0,100.42
15.0,27.2,32.0,700.0,119.62
15.0,34.0,40.0,700.0,143.25
15.0,42.6,50.0,700.0,166.77
15.0,53.6,63.0,700.0,184.26
15.0,63.8,75.0,700.0,194.45
15.0,76.6,90.0,700.0,204.77
15.0,93.6,110.0,700.0,217.9
15.0,106.4,125.0,700.0,307.33
15.0,119.2,140.0,700.0,327.28
15.0,8.0,10.0,800.0,20.61
15.0,10.0,12.0,800.0,40.14
15.0,13.6,16.0,800.0,70.03
15.0,17.0,20.0,800.0,90.91
15.0,22.0,25.0,800.0,114.77
15.0,27.2,32.0,800.0,136.71
15.0,34.0,40.0,800.0,163.71
15.0,42.6,50.0,800.0,190.59
15.0,53.6,63.0,800.0,210.59
15.0,63.8,75.0,800.0,222.22
15.0,76.6,90.0,800.0,234.03
15.0,93.6,110.0,800.0,249.03
15.0,106.4,125.0,800.0,351.24
15.0,119.2,140.0,800.0,374.04
15.0,8.0,10.0,900.0,23.19
15.0,10.0,12.0,900.0,45.15
15.0,13.6,16.0,900.0,78.78
15.0,17.0,20.0,900.0,102.27
15.0,22.0,25.0,900.0,129.11
15.0,27.2,32.0,900.0,153.8
15.0,34.0,40.0,900.0,184.17
15.0,42.6,50.0,900.0,214.42
15.0,53.6,63.0,900.0,236.91
15.0,63.8,75.0,900.0,250.0
15.0,76.6,90.0,900.0,263.28
15.0,93.6,110.0,900.0,280.15
15.0,106.4,125.0,900.0,395.14
15.0,119.2,140.0,900.0,420.79
15.0,8.0,10.0,1000.0,25.77
15.0,10.0,12.0,1000.0,50.17
15.0,13.6,16.0,1000.0,87.54
15.0,17.0,20.0,1000.0,113.63
15.0,22.0,25.0,1000.0,143.46
15.0,27.2,32.0,1000.0,170.89
15.0,34.0,40.0,1000.0,204.64
15.0,42.6,50.0,1000.0,238.24
15.0,53.6,63.0,1000.0,263.23
15.0,63.8,75.0,1000.0,277.78
15.0,76.6,90.0,1000.0,292.53
15.0,93.6,110.0,1000.0,311.28
15.0,106.4,125.0,1000.0,439.05
15.0,119.2,140.0,1000.0,467.55
20.0,8.0,10.0,200.0,5.08
20.0,10.0,12.0,200.0,9.96
20.0,13.6,16.0,200.0,17.43
20.0,17.0,20.0,200.0,22.65
20.0,22.0,25.0,200.0,28.62
20.0,27.2,32.0,200.0,34.1
20.0,34.0,40.0,200.0,40.85
20.0,42.6,50.0,200.0,47.58
20.0,53.6,63.0,200.0,52.57
20.0,63.8,75.0,200.0,55.48
20.0,76.6,90.0,200.0,58.43
20.0,93.6,110.0,200.0,62.18
20.0,106.4,125.0,200.0,87.74
20.0,119.2,140.0,200.0,93.44
20.0,8.0,10.0,300.0,7.62
20.0,10.0,12.0,300.0,14.94
20.0,13.6,16.0,300.0,26.15
20.0,17.0,20.0,300.0,33.98
20.0,22.0,25.0,300.0,42.93
20.0,27.2,32.0,300.0,51.16
20.0,34.0,40.0,300.0,61.28
20.0,42.6,50.0,300.0,71.36
20.0,53.6,63.0,300.0,78.86
20.0,63.8,75.0,300.0,83.22
20.0,76.6,90.0,300.0,87.65
20.0,93.6,110.0,300.0,93.28
20.0,106.4,125.0,300.0,131.6
20.0,119.2,140.0,300.0,140.15
20.0,8.0,10.0,400.0,10.16
20.0,10.0,12.0,400.0,19.92
20.0,13.6,16.0,400.0,34.87
20.0,17.0,20.0,400.0,45.31
20.0,22.0,25.0,400.0,57.24
20.0,27.2,32.0,400.0,68.21
20.0,34.0,40.0,400.0,81.71
20.0,42.6,50.0,400.0,95.15
20.0,53.6,63.0,400.0,105.15
20.0,63.8,75.0,400.0,110.97
20.0,76.6,90.0,400.0,116.87
20.0,93.6,110.0,400.0,124.37
20.0,106.4,125.0,400.0,175.47
20.0,119.2,140.0,400.0,186.87
20.0,8.0,10.0,500.0,12.7
20.0,10.0,12.0,500.0,24.9
20.0,13.6,16.0,500.0,43.59
20.0,17.0,20.0,500.0,56.63
20.0,22.0,25.0,500.0,71.55
20.0,27.2,32.0,500.0,85.26
20.0,34.0,40.0,500.0,102.14
20.0,42.6,50.0,500.0,118.94
20.0,53.6,63.0,500.0,131.43
20.0,63.8,75.0,500.0,138.71
20.0,76.6,90.0,500.0,146.08
20.0,93.6,110.0,500.0,155.46
20.0,106.4,125.0,500.0,219.34
20.0,119.2,140.0,500.0,233.59
20.0,8.0,10.0,600.0,15.24
20.0,10.0,12.0,600.0,29.88
20.0,13.6,16.0,600.0,52.3
20.0,17.0,20.0,600.0,67.96
20.0,22.0,25.0,600.0,85.86
20.0,27.2,32.0,600.0,102.31
20.0,34.0,40.0,600.0,122.56
20.0,42.6,50.0,600.0,142.73
20.0,53.6,63.0,600.0,157.72
20.0,63.8,75.0,600.0,166.45
20.0,76.6,90.0,600.0,175.3
20.0,93.6,110.0,600.0,186.55
20.0,106.4,125.0,600.0,263.21
20.0,119.2,140.0,600.0,280.31
20.0,8.0,10.0,700.0,17.78
20.0,10.0,12.0,700.0,34.86
20.0,13.6,16.0,700.0,61.02
20.0,17.0,20.0,700.0,79.29
20.0,22.0,25.0,700.0,100.17
20.0,27.2,32.0,700.0,119.37
20.0,34.0,40.0,700.0,142.99
20.0,42.6,50.0,700.0,166.51
20.0,53.6,63.0,700.0,184.01
20.0,63.8,75.0,700.0,194.19
20.0,76.6,90.0,700.0,204.52
20.0,93.6,110.0,700.0,217.64
20.0,106.4,125.0,700.0,307.08
20.0,119.2,140.0,700.0,327.03
20.0,8.0,10.0,800.0,20.32
20.0,10.0,12.0,800.0,39.85
20.0,13.6,16.0,800.0,69.74
20.0,17.0,20.0,800.0,90.61
20.0,22.0,25.0,800.0,114.48
20.0,27.2,32.0,800.0,136.42
20.0,34.0,40.0,800.0,163.42
