D_in_cold,D_out_cold,N_aletas,D_aleta,T_out_hot,UA_total,Efectividad
0.008,0.01,14,0.009524999999999999,18.047948730323753,9.143827899208244,0.12200320435476511
0.008,0.01,14,0.01016,18.026445568722636,9.252484593923276,0.12334715195483555
0.008,0.01,14,0.010794999999999999,18.00394003089076,9.36640915027272,0.12475374806932628
0.008,0.01,14,0.01143,17.980483635025053,9.485368482406223,0.12621977281093388
0.008,0.01,14,0.012065,17.956130795343938,9.609114126828326,0.12774182529100353
0.008,0.01,15,0.006985,18.12177924168759,8.772191155387713,0.11738879739452393
0.008,0.01,15,0.007620000000000001,18.103525471451746,8.863868414501711,0.11852965803426581
0.008,0.01,15,0.008255,18.084020888249484,8.961976849581452,0.11974869448440613
0.008,0.01,15,0.008889999999999999,18.063306923786,9.066337662010303,0.12104331726337562
0.008,0.01,15,0.009524999999999999,18.041429104255997,9.176751973615376,0.12241068098400026
0.008,0.01,15,0.01016,18.018436852786976,9.293001450079094,0.1238476967008128
0.008,0.01,15,0.010794999999999999,17.99438324637231,9.414849142813582,0.1253510471017325
0.008,0.01,15,0.01143,17.96932473137315,9.542040535779654,0.1269172042891799
0.008,0.01,15,0.012065,17.94332080221068,9.674304781225922,0.12854244986183358
0.008,0.01,16,0.006985,18.12053540027199,8.77843391534988,0.11746653748300152
0.008,0.01,16,0.007620000000000001,18.101074676932114,8.876187487347472,0.11868283269174304
0.008,0.01,16,0.008255,18.080287655270013,8.980772685964427,0.1199820215456252
0.008,0.01,16,0.008889999999999999,18.05821989913403,9.091993749813447,0.12136125630412181
0.008,0.01,16,0.009524999999999999,18.034921351804712,9.209633406770056,0.12281741551220683
0.008,0.01,16,0.01016,18.010446106793893,9.333453601148042,0.12434711832538066
0.008,0.01,16,0.010794999999999999,17.984852129854573,9.463196455937675,0.12594674188409014
0.008,0.01,16,0.01143,17.95820093691657,9.598585454544972,0.12761244144271336
0.008,0.01,16,0.012065,17.930557233247896,9.739326823748202,0.12934017292200603
0.008,0.01,17,0.006985,18.11929198671271,8.784675152594211,0.11754425083045536
0.008,0.01,17,0.007620000000000001,18.098625547602694,8.888500620704164,0.11883590327483076
0.008,0.01,17,0.008255,18.076558296469614,8.999554670879732,0.12021510647064988
0.008,0.01,17,0.008889999999999999,18.053140088417138,9.117623980252635,0.12167874447393
0.008,0.01,17,0.009524999999999999,18.02842544108364,9.242472281458197,0.12322340993227261
0.008,0.01,17,0.01016,18.00247327129705,9.373841202006691,0.12484542054393342
0.008,0.01,17,0.010794999999999999,17.97534657971306,9.511451355373733,0.1265408387679346
0.008,0.01,17,0.01143,17.947112088847405,9.655003666031831,0.12830549444703648
0.008,0.01,17,0.012065,17.91783984052995,9.804180907707648,0.13013500996687916
0.008,0.01,18,0.006985,18.118049000792723,8.790914867677765,0.11762193745045593
0.008,0.01,18,0.007620000000000001,18.096178081794505,8.900807818866221,0.11898886988784223
0.008,0.01,18,0.008255,18.072832805918267,9.018322819633347,0.12044794963010795
